shape_type,R,index,r_i,u_x,u_y,u_z,v_x,v_y,v_z,norm_v
round,1.0,1,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0
round,1.0,2,1.0,0.9998699186986366,0.0,0.016129032258064516,0.9998699186986366,0.0,0.016129032258064516,0.9999999999999999
round,1.0,3,1.0,-0.7365051672459693,0.6746990643877845,0.04838709677419355,-0.7365051672459693,0.6746990643877845,0.04838709677419355,1.0
round,1.0,4,1.0,0.08714096816374788,-0.992926386812206,0.08064516129032258,0.08714096816374788,-0.992926386812206,0.08064516129032258,1.0
round,1.0,5,1.0,0.60454849627808,0.7885264594485144,0.11290322580645161,0.60454849627808,0.7885264594485144,0.11290322580645161,1.0
round,1.0,6,1.0,-0.97428340472078,-0.1723370159819652,0.14516129032258066,-0.97428340472078,-0.1723370159819652,0.14516129032258066,0.9999999999999999
round,1.0,7,1.0,0.8303694061197012,-0.5282130459474007,0.1774193548387097,0.8303694061197012,-0.5282130459474007,0.1774193548387097,1.0
round,1.0,8,1.0,-0.2538334614250695,0.9442478242885514,0.20967741935483872,-0.2538334614250695,0.9442478242885514,0.20967741935483872,1.0
round,1.0,9,1.0,-0.44721455471963406,-0.8610844114783638,0.24193548387096775,-0.44721455471963406,-0.8610844114783638,0.24193548387096775,1.0
round,1.0,10,1.0,0.9033213643897355,0.3298915134706548,0.27419354838709675,0.9033213643897355,0.3298915134706548,0.27419354838709675,0.9999999999999999
round,1.0,11,1.0,-0.879871813488203,0.36319829401855996,0.3064516129032258,-0.879871813488203,0.36319829401855996,0.3064516129032258,1.0
round,1.0,12,1.0,0.3987928552202029,-0.8521971679416653,0.3387096774193548,0.3987928552202029,-0.8521971679416653,0.3387096774193548,1.0
round,1.0,13,1.0,0.2779286896385565,0.8860804579264139,0.3709677419354839,0.2779286896385565,0.8860804579264139,0.3709677419354839,1.0
round,1.0,14,1.0,-0.7917552219545905,-0.4588383348403702,0.4032258064516129,-0.7917552219545905,-0.4588383348403702,0.4032258064516129,1.0
round,1.0,15,1.0,0.8792001453403638,-0.19328968560281248,0.43548387096774194,0.8792001453403638,-0.19328968560281248,0.43548387096774194,0.9999999999999999
round,1.0,16,1.0,-0.508336819595278,0.7230568163246648,0.46774193548387094,-0.508336819595278,0.7230568163246648,0.46774193548387094,1.0
round,1.0,17,1.0,-0.11129352202378986,-0.8588444282613353,0.5,-0.11129352202378986,-0.8588444282613353,0.5,0.9999999999999999
round,1.0,18,1.0,0.647338197820878,0.5455773184430985,0.532258064516129,0.647338197820878,0.5455773184430985,0.532258064516129,1.0
round,1.0,19,1.0,-0.8247171717022219,0.034104644286705045,0.5645161290322581,-0.8247171717022219,0.034104644286705045,0.5645161290322581,1.0
round,1.0,20,1.0,0.5687712599060819,-0.5660033708552632,0.5967741935483871,0.5687712599060819,-0.5660033708552632,0.5967741935483871,1.0
round,1.0,21,1.0,-0.03590826922427271,0.7765494282501102,0.6290322580645161,-0.03590826922427271,0.7765494282501102,0.6290322580645161,0.9999999999999999
round,1.0,22,1.0,-0.4806151903558808,-0.5759376251473477,0.6612903225806451,-0.4806151903558808,-0.5759376251473477,0.6612903225806451,1.0
round,1.0,23,1.0,0.7139763614761193,0.09606450962132,0.6935483870967742,0.7139763614761193,0.09606450962132,0.6935483870967742,1.0
round,1.0,24,1.0,-0.5646676056304808,0.39288101245622203,0.7258064516129032,-0.5646676056304808,0.39288101245622203,0.7258064516129032,1.0
round,1.0,25,1.0,0.1431412646581369,-0.6362772726870931,0.7580645161290323,0.1431412646581369,-0.6362772726870931,0.7580645161290323,1.0
round,1.0,26,1.0,0.3046182300335246,0.5315994285678035,0.7903225806451613,0.3046182300335246,0.5315994285678035,0.7903225806451613,1.0
round,1.0,27,1.0,-0.5417472899425394,-0.1728321614918634,0.8225806451612904,-0.5417472899425394,-0.1728321614918634,0.8225806451612904,1.0
round,1.0,28,1.0,0.47104719507444026,-0.21763575177242117,0.8548387096774194,0.47104719507444026,-0.21763575177242117,0.8548387096774194,1.0
round,1.0,29,1.0,-0.1781994195756174,0.42579840309507233,0.8870967741935484,-0.1781994195756174,0.42579840309507233,0.8870967741935484,1.0
round,1.0,30,1.0,-0.13315707197619783,-0.37021058159354225,0.9193548387096774,-0.13315707197619783,-0.37021058159354225,0.9193548387096774,1.0
round,1.0,31,1.0,0.27201812708004053,0.14296510397302814,0.9516129032258065,0.27201812708004053,0.14296510397302814,0.9516129032258065,1.0
round,1.0,32,1.0,-0.17297122811995713,0.04559466062184285,0.9838709677419355,-0.17297122811995713,0.04559466062184285,0.9838709677419355,1.0
